1725451268,0.082,6.5,1,,,,,,,,,,,,,,,,,,2.37,44.6,1,1.969,46.1,1,5.0,0.3,0,,,
1725451269,0.082,6.5,1,161.676,,,,,,,,,,,,,,,,,2.37,44.4,1,1.969,46.6,1,5.0,0.3,0,,,
1725451270,0.082,6.6,1,170.761,,,,,,,,,,,,,,,,,2.37,45.9,1,1.969,46.5,1,5.0,0.5,0,,,
1725451271,0.082,6.6,1,170.758,,,,,,,,,,,,,,,,,2.37,44.4,1,1.969,46.5,1,5.0,0.3,0,,,
1725451272,0.082,6.6,1,170.752,14.44,5.64,19.0,-0.06,322,28,365,617,-0.01,255,0,0,0,0,0,0,2.37,46.3,1,1.969,46.5,1,5.0,0.1,0,,,
1725451273,0.082,6.6,1,170.75,14.38,5.57,18.62,-0.06,317,26,367,622,-0.01,255,0,0,0,0,0,0,2.37,44.0,1,1.969,46.8,1,5.0,1.0,0,1,1,1
1725451274,0.082,6.6,1,170.744,14.44,5.63,19.0,-0.06,323,20,366,614,-0.01,255,0,0,0,0,0,0,2.37,45.0,1,1.969,46.0,1,5.0,0.1,0,1,1,1
1725451275,0.082,6.6,1,170.741,14.44,5.62,18.69,-0.06,322,21,360,619,-0.01,255,0,0,0,0,0,0,2.37,45.2,1,1.969,46.1,1,5.0,0.0,0,1,1,1
1725451276,0.082,6.6,1,170.736,14.44,5.67,18.87,-0.06,326,23,369,617,-0.01,255,0,0,0,0,0,0,2.37,44.2,1,1.969,46.3,1,5.0,0.5,0,1,1,1
1725451277,0.082,6.6,1,170.733,14.44,5.5,18.44,-0.06,,,,,,,,,,,,,2.37,44.0,1,1.969,45.6,1,5.0,0.7,0,1,1,1
1725451278,0.082,6.6,1,170.727,14.13,5.56,19.12,-0.06,324,26,376,618,-0.01,255,0,0,0,0,0,0,2.37,44.6,1,1.969,46.5,1,5.0,0.5,0,1,1,1
1725451279,0.082,6.6,1,170.725,14.44,5.49,18.5,-0.06,315,28,366,614,-0.01,255,0,0,0,0,0,0,2.37,44.0,1,1.969,46.3,1,5.0,0.1,0,1,1,1
1725451280,0.082,6.5,1,170.72,14.44,5.55,18.94,-0.06,324,19,357,618,-0.01,255,0,0,0,0,0,0,2.37,43.6,1,1.969,47.0,1,5.0,0.1,0,1,1,1
1725451281,0.082,6.6,1,170.716,14.44,5.48,19.19,-0.06,324,23,359,620,-0.01,255,0,0,0,0,0,0,2.37,44.2,1,1.969,46.0,1,5.0,0.9,0,1,1,1
1725451282,0.082,6.5,1,170.712,14.44,5.46,18.0,-0.06,324,31,371,621,-0.01,255,0,0,0,0,0,0,2.37,43.8,1,1.969,46.3,1,5.0,-0.3,0,1,1,1
1725451283,0.082,6.5,1,170.711,14.44,5.53,18.81,-0.06,315,25,370,619,-0.01,255,0,0,0,0,0,0,2.37,44.4,1,1.969,47.0,1,5.0,0.1,0,1,1,1
1725451284,0.082,6.5,1,170.711,14.44,5.56,19.37,-0.06,312,22,363,616,-0.01,255,0,0,0,0,0,0,2.37,44.8,1,1.969,46.0,1,5.0,0.0,0,1,1,1
1725451285,0.082,6.4,1,170.711,14.44,5.53,18.87,-0.06,323,21,363,620,-0.01,255,0,0,0,0,0,0,2.37,44.8,1,1.969,45.6,1,5.0,0.9,0,1,1,1
1725451286,0.082,6.4,1,,14.44,5.53,19.19,-0.06,,,,,,,,,,,,,2.37,44.6,1,1.969,46.0,1,5.0,0.7,0,1,1,1
1725451287,0.082,6.5,1,170.711,14.44,5.56,18.25,-0.06,323,31,370,624,-0.01,255,0,0,0,0,0,0,2.37,45.6,1,1.969,46.0,1,5.0,0.7,0,1,1,1
